semantic_field,concepticon_id1,concepticon_gloss1,concepticon_id2,concepticon_gloss2,evidence
Agriculture and vegetation,606,grass,2002,ditch,1
Agriculture and vegetation,641,mushroom,2002,ditch,2
Agriculture and vegetation,1204,bark,2132,sickle or scythe,6
Agriculture and vegetation,606,grass,2132,sickle or scythe,5
Agriculture and vegetation,641,mushroom,2132,sickle or scythe,6
Agriculture and vegetation,1077,wheat,223,threshing-floor,7
Agriculture and vegetation,1204,bark,223,threshing-floor,12
Agriculture and vegetation,1486,plant,223,threshing-floor,10
Agriculture and vegetation,606,grass,223,threshing-floor,11
Agriculture and vegetation,641,mushroom,223,threshing-floor,12
Agriculture and vegetation,1204,bark,23,rye,18
Agriculture and vegetation,33,nettle,23,rye,8
Agriculture and vegetation,342,hay,23,rye,13
Agriculture and vegetation,606,grass,23,rye,18
Agriculture and vegetation,641,mushroom,23,rye,19
Agriculture and vegetation,1204,bark,284,hoe,4
Agriculture and vegetation,1486,plant,284,hoe,3
Agriculture and vegetation,606,grass,284,hoe,3
Agriculture and vegetation,641,mushroom,284,hoe,4
Agriculture and vegetation,1204,bark,285,thresh,6
Agriculture and vegetation,1486,plant,285,thresh,5
Agriculture and vegetation,606,grass,285,thresh,5
Agriculture and vegetation,641,mushroom,285,thresh,6
Agriculture and vegetation,641,mushroom,33,nettle,10
Agriculture and vegetation,1077,wheat,337,pitchfork,4
Agriculture and vegetation,1204,bark,337,pitchfork,9
Agriculture and vegetation,1486,plant,337,pitchfork,8
Agriculture and vegetation,190,mow,337,pitchfork,5
Agriculture and vegetation,606,grass,337,pitchfork,8
Agriculture and vegetation,641,mushroom,337,pitchfork,9
Agriculture and vegetation,748,sow seeds,337,pitchfork,7
Agriculture and vegetation,1204,bark,338,rake,4
Agriculture and vegetation,641,mushroom,338,rake,4
Agriculture and vegetation,1204,bark,342,hay,5
Agriculture and vegetation,641,mushroom,342,hay,5
Agriculture and vegetation,1204,bark,343,vine,6
Agriculture and vegetation,641,mushroom,343,vine,6
Agriculture and vegetation,641,mushroom,345,sap,1
Agriculture and vegetation,641,mushroom,346,banyan,23
Agriculture and vegetation,864,pumpkin,346,banyan,21
Agriculture and vegetation,1204,bark,3541,harvest or harvest season,7
Agriculture and vegetation,1486,plant,3541,harvest or harvest season,5
Agriculture and vegetation,606,grass,3541,harvest or harvest season,6
Agriculture and vegetation,641,mushroom,3541,harvest or harvest season,7
Agriculture and vegetation,1927,bamboo,410,yam,11
Agriculture and vegetation,641,mushroom,410,yam,18
Agriculture and vegetation,641,mushroom,411,gourd,8
Agriculture and vegetation,864,pumpkin,411,gourd,6
Agriculture and vegetation,1204,bark,506,maize,3
Agriculture and vegetation,1486,plant,506,maize,1
Agriculture and vegetation,1689,smoke,506,maize,2
Agriculture and vegetation,641,mushroom,506,maize,3
Agriculture and vegetation,974,tobacco,506,maize,2
Agriculture and vegetation,1204,bark,586,garden,6
Agriculture and vegetation,1418,dig,586,garden,5
Agriculture and vegetation,606,grass,586,garden,5
Agriculture and vegetation,641,mushroom,586,garden,6
Agriculture and vegetation,1204,bark,60,oat,16
Agriculture and vegetation,1486,plant,60,oat,14
Agriculture and vegetation,342,hay,60,oat,10
Agriculture and vegetation,606,grass,60,oat,15
