concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
936,stallion,An uncastrated male horse.,n02377181,stallion//entire,uncastrated adult male horse
938,mare,An adult female horse.,n02377480,mare//female horse,female equine animal
1647,foal,"A juvenile horse, especially one which is not yet weaned.",n02376791,colt,a young male horse under the age of four
1862,donkey,"A domesticated animal, Equus asinus.",n02389559,domestic ass//donkey//Equus asinus,domestic beast of burden descended from the African wild ass; patient but stubborn
890,mule,The offspring of a male donkey and a female horse.,n02390101,mule,hybrid offspring of a male donkey and a female horse; usually sterile
265,fowl,A bird that is kept for its meat and eggs.,n01789740,domestic fowl//fowl//poultry,a domesticated gallinaceous bird thought to be descended from the red jungle fowl
1511,rooster,"A male chicken (Gallus gallus domesticus), a domestic bird.",n01792158,cock//rooster,adult male chicken
1514,hen,A female chicken.,n01792640,hen//biddy,adult female chicken
1318,chicken,A type of domesticated bird from the order of Galliformes which is often raised as a type of poultry (Gallus gallus domesticus).,n01791625,chicken//Gallus gallus,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
1187,goose,Waterfowl of the Anatidae family.,n01855672,goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
1360,duck,"An aquatic bird of the family Anatidae, having a flat bill and webbed feet.",n01846331,duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
539,nest,"A nest is a structure built by vertebrates to hold its eggs, its offspring, or occasionally the animal itself and may be composed of organic material such as twigs, grass, and leaves, or may be a simple depression in the ground, or a hole in a rock, tree, or building.",n09369169,nest,a structure in which animals lay eggs or give birth to their young
937,bird,"Any of the bipedal, warm-blooded vertebrates that lay eggs having wings which, for most species, enables them to fly.",n01503061,bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
950,seagull,A seabird of the genus Larus or of the family Laridae.,n02041246,gull//seagull//sea gull,mostly white aquatic bird having long pointed wings and short legs
758,heron,"A long-legged, long-necked wading bird of the family Ardeidae.",n02008041,heron,grey or white wading bird with long neck and long legs and (usually) long bill
1905,eagle,"Any of several large carnivorous birds in the family Accipitridae, having a powerful hooked bill and keen vision.",n01613294,eagle//bird of Jove,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
307,hawk,A predatory bird of the family Accipitridae.,n01605630,hawk,diurnal bird of prey typically having short rounded wings and a long tail
1185,vulture,Any of several carrion-eating birds of the families Accipitridae and Cathartidae.,n01616764,Old World vulture,any of several large vultures of Africa and Eurasia
1793,bat,"A small, nocturnal, flying mammal of the order Chiroptera, which navigates by means of echolocation. It looks like a mouse with membranous wings extending from the forelimbs to the hind limbs or tail.",n02139199,bat//chiropteran,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
882,parrot,"Any bird of the order Psittaciformes, many species of which are colourful and able to mimic human speech.",n01816887,parrot,usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
913,crow,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.",n01579028,crow,black birds having a raucous call
1853,dove,One of several birds of the family Columbidae.,n01812337,dove,any of numerous small pigeons
735,owl,"A solitary, mainly nocturnal bird of prey, belonging to the order Strigiformes; it has large forward-facing eyes and ears and a hawk-like beak, and it can turn its head 180 degrees around.",n01621127,owl//bird of Minerva//bird of night//hooter,nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
2009,dog,"A common four-legged animal, especially kept by people as a pet or to hunt or guard things.",n02084071,dog//domestic dog//Canis familiaris,"a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"""
1136,rabbit,"One of several small mammals of the family Leporidae, with long ears, long hind legs and a short, fluffy tail.",n02324045,rabbit//coney//cony,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
1208,cat,A common four-legged animal (Felis silvestris) that is often kept as a household pet.,n02121620,cat//true cat,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
309,opossum,A mammal being a member of the family Didelphidae.,n01874928,opossum//possum,nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America
2139,muroid (mouse or rat),"A large superfamily of rodents, including hamsters, gerbils, true mice and rats, and many other relatives.",n02331046,rat,any of various long-tailed rodents similar to but larger than a mouse
227,fish,A cold-blooded vertebrate animal that lives in water that moves with the help of fins and breathes using gills (Pisces).,n02512053,fish,"any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills; ""the shark is a large fish""; ""in the living room there was a tank of colorful fish"""
213,fin,An appendage of a fish used for swimming.,n02466132,fin,organ of locomotion and balance in fishes and some other aquatic animals
266,scale,One of the small flat pieces of skin that cover the bodies of fish.,n01902877,scale,a flattened rigid plate forming part of the body covering of many animals
1916,gill,The breathing organ of fish and other aquatic animals.,n02510769,gill//branchia,respiratory organ of aquatic animals that breathe oxygen dissolved in water
598,shell,"A hard outer covering of an animal, as the hard case of a mollusk.",n01904182,shell,the hard largely calcareous covering of a mollusc or a brachiopod
1110,shark,A scaleless fish with a cartilaginous skeleton that has 5 to 7 gill slits on each side of its head.,n01482330,shark,any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales
1479,dolphin,A carnivorous aquatic mammal inhabiting mostly in the shallower seas of the continental shelves.,n02068974,dolphin,any of various small toothed whales with a beaklike snout; larger than porpoises
957,whale,"Large marine mammals of the order Cetacea; the body is streamlined, the broad flat tail is used for propulsion, and the limbs are balancing structures.",n02062744,whale,any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head
1910,stingray,"Any of various large, venomous rays, of the orders Rajiformes and Myliobatiformes, having a barbed, whiplike tail.",n01498041,stingray,large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
522,wolf,"A large wild canid (Canidae), closely related to the dog.",n02114100,wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
