concepticon_id,name,description,pwn_synset,wordnet_gloss,wordnet_definition
629,leather,"The dressed or tanned hide of an animal, usually with the hair removed.",n14759722,leather,an animal skin made smooth and flexible by removing the hair and then tanning
121,spin,"To make (yarn) by drawing out, twisting, and winding fibers.",v01518772,spin,"work natural fibers into a thread; ""spin silk"""
277,spindle,A stick used in spinning fiber into thread.,n04277352,spindle,a stick or pin used to twist the yarn in spinning
133,weave,To create a fabric by interlacing threads.,v01673891,weave//tissue,"create a piece of cloth by interlacing strands of fabric, such as wool or cotton; ""tissue textiles"""
1787,loom,A frame or machine (made of wood or other material) in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric.,n03689157,loom,a textile machine for weaving yarn into a textile
1457,sew,"To pass thread repeatedly through fabric or a material, using a needle, in order to join two or more parts or to make a pattern or motif.",v01329239,sew//run up//sew together//stitch,fasten by sewing; do needlework
1382,needle (for sewing),"A thin, sharp implement used in sewing, knitting and acupuncture.",n03816136,needle,a sharp pointed implement (usually steel)
278,awl,Pointed tool for marking or piercing wood or leather.,n02763714,awl,a pointed tool for marking surfaces or for punching small holes
1161,thread,"A long, thin and flexible form of material, generally with a round cross-section, used in sewing, weaving or in the construction of string.",n04426788,thread//yarn,a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
157,dye,To modify the color of something by applying dye.,v00283090,dye,"color with dye; ""Please dye these shoes"""
326,cloak,"A long outer garment worn over the shoulders covering the back; a cape, often with a hood.",n03045337,cloak,a loose outer garment
327,poncho,"A simple garment, made from a rectangle of cloth, with a slit in the middle for the head.",n03980874,poncho,a blanket-like cloak with a hole in the center for the head
474,dress,A one-piece garment for a woman that has a skirt and a body section.,n03236735,dress//frock,a one-piece garment for a woman; has skirt and bodice
603,coat,An outer garment covering the upper torso and arms.,n03057021,coat,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
1622,shirt,"An article of clothing that is worn on the upper part of the body, and often has sleeves, either long or short, that cover the arms.",n04197391,shirt,a garment worn on the upper half of the body
2012,collar,The part of a garment that encircles the neck.,n03068181,collar//neckband,a band that fits around the neck and is usually folded over
1600,skirt,"An article of clothing, usually worn by women and girls, that hangs from the waist and covers the lower part of the body.",n04230808,skirt,a garment hanging from the waist; worn mainly by girls and women
328,grass-skirt,"A skirt made from long dried grass, or synthetic material resembling it.",n03454442,grass skirt,a skirt made of long blades of grass
809,trousers,An item of clothing worn on the lower part of the body and covering both legs separately.,n04489008,trouser//pant,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately; ""he had a sharp crease in his trousers"""
329,stocking,"A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear.",n04323819,stocking,close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)
1381,shoe,"A protective covering for the foot, with a bottom part composed of thick leather or plastic sole and often a thicker heel, and a softer upper part made of leather or synthetic material. Shoes generally do not extend above the ankle, as opposed to boots, which do.",n04199027,shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
585,boot,A shoe that covers part of the leg.,n02872752,boot,footwear that covers the whole foot and lower leg
875,shoemaker,A person whose profession is making and repairing footwear.,n09933098,cobbler//shoemaker,a person who makes or repairs shoes
2130,headgear,Any element of clothing which is worn on one's head.,n02954340,cap,a tight-fitting headdress
772,belt,"A clothing accessory, usually made of leather or heavy cloth, worn around the waist and used to support trousers or other articles of clothing.",n02827606,belt,a band to tie or buckle around the body (usually at the waist)
867,glove,"A garment for a hand, often extending to the wrist and sometimes up to the elbow, which either covers each finger individually, or separates the thumb from the other fingers.",n03441112,glove,handwear: covers the hand and wrist
1151,veil,A head covering.,n03502331,head covering//veil,a garment that covers the head and face
1851,pocket,"A kind of pouch, which is accessible by an opening in an article of clothing and serves for storage; usually large enough in order to accommodate at least one hand.",n03972524,pocket,a small pouch inside a garment for carrying small articles
757,button,A fastener consisting of a knob or disc that is passed through a slit in the adjacent material.,n02928608,button,a round fastener sewn to shirts and coats etc to fit through buttonholes
64,pin,"A small device, made (usually) of drawn-out steel wire with one end sharpened and the other flattened or rounded into a head, used for fastening.",n04331892,straight pin,pin consisting of a short straight stiff piece of wire with a pointed end; used to fasten pieces of cloth or paper together
917,ornament,An element of decoration.,n02681518,adornment,a decoration of color or interest that is added to relieve plainness
1029,jewel,"A precious stone such as a diamond, a sapphire or an agate.",n03596787,jewel//gem//precious stone,a precious or semiprecious stone incorporated into a piece of jewelry
1374,ring,A round piece of (precious) metal worn around the finger.,n04092609,ring//band,"jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger; ""she had rings on every finger""; ""he noted that she wore a wedding band"""
1754,bracelet,Piece of jewellery worn around the wrist.,n02887970,bracelet//bangle,jewelry worn around the wrist for decoration
1961,necklace,An article of jewelry that is worn around the neck.,n03814906,necklace,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
1860,bead,"A hard, rounded object produced within the soft tissue (specifically the mantle) of a living shelled mollusk.",n02815071,bead,a small ball with a hole through the middle
770,earring,A piece of jewelry worn on the ear.,n03262349,earring,jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
3457,headband or headdress,An cloth or strip of cloth worn on or around the head.,NA,NA,NA
68,tattoo,A marking made by inserting ink into the layers of skin to change the pigment permanently for decorative or other reasons.,n04395651,tattoo,a design on the skin made by tattooing
332,rag,"A piece of old cloth; a tattered piece of cloth; a shred, a tatter.",n04045941,rag//shred//tag//tag end//tatter,a small piece of cloth or paper
1021,towel,Piece of absorbent fabric or paper used for drying or wiping.,n04459362,towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping
1475,comb,A toothed implement for grooming the hair.,n03074855,comb,a flat device with narrow pointed teeth on one edge; disentangles or arranges hair
1821,brush,"An implement with a handle, and a head with multiple more or less flexible bristles, used for arranging hair.",n02908217,brush,an implement that has hairs or bristles firmly set into a handle
1043,braid,A hair style formed by interweaving three or more strands of hair.,NA,NA,NA
151,razor,A bladed tool used for the removal of body hair through the act of shaving.,n04057047,razor,edge tool used in shaving
