concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_wold_strict,wl_mean,wl_cvar,en,do_mean,do_cvar,ins,cd,aoa_self,conc,sens
784,snow,The physical world,Person/Thing,Noun,0.573194,154.301325,0.802787,109.649546,160.98443,1.19721,7.45e-4,1738.653219,4.11,4.85,5.860981552
788,soap,Clothing and grooming,Person/Thing,Noun,1,11.162704,0.9328,19.663992,111.41526,0.5672,3.05e-4,342.035004,3.17,4.93,6.258148444
790,ready,Time,Property,Adjective,0.833827,234.312401,0.593902,363.443825,378.97218,0.6802,1.64e-4,7188.668051,5.53,2.07,3.92161238
792,boil,Food and drink,Action/Process,Verb,1,32.313339,0.755522,35.001617,199.97955,1.68229,5.8e-5,382.379116,6.6,4.2,4.598446925
798,jaw,The body,Person/Thing,Noun,1,5.57195,0.714045,10.40354,102.01912,0.71659,4.1e-5,201.127262,5.33,4.87,5.736616632
799,wrist,The body,Person/Thing,Noun,0.906942,6.146999,0.46024,11.705791,95.14901,0.57088,5.5e-5,225.749036,5.94,4.93,6.590839994
801,rib,The body,Person/Thing,Noun,1,5.348337,0.662475,14.281354,98.76304,0.52905,4.5e-5,260.753486,6.3,4.9,5.183550609
803,ankle,The body,Person/Thing,Noun,1,5.278887,0.696049,14.498396,98.73653,0.63453,6.3e-5,279.145654,4.89,4.81,6.183931588
806,blanket,The house,Person/Thing,Noun,0.915861,15.897505,0.731696,23.339234,139.25658,1.01719,2.77e-4,438.148917,3.61,5,5.725146319
809,trousers,Clothing and grooming,Person/Thing,Noun,1,42.654644,0.427562,63.072364,208.55678,0.96411,5.58e-4,1176.20884,5.94,4.93,5.725453886
812,slave,Social and political relations,Person/Thing,Noun,0.339002,18.421052,0.539172,19.287786,112.52059,0.73696,1.56e-4,340.255117,7.84,4.38,4.52345063
820,lamb,Animals,Person/Thing,Noun,0.501679,7.520632,0.726227,14.614152,98.02076,0.54168,1.15e-4,297.537823,4.15,4.97,5.557446919
827,roll,Motion,Action/Process,Verb,1,25.628237,1.105693,122.599711,127.16255,0.67785,1.8e-4,1962.325719,4.47,4.16,4.765282666
832,bean,Food and drink,Person/Thing,Noun,0.618199,18.778874,0.770035,50.585222,163.5256,1.48429,2.06e-4,883.714031,3.42,5,5.562288502
834,buttocks,The body,Person/Thing,Noun,1,130.316241,0.842533,252.274986,111.1009,0.67104,2.66e-4,1238.504895,3.73,4.75,5.245418873
843,spider,Animals,Person/Thing,Noun,1,8.746488,0.526656,17.160776,119.69013,1.47992,2.05e-4,304.657372,3.43,4.97,4.735519991
850,square,Spatial relations,Person/Thing,Noun,0.507091,57.155879,1.184769,65.112557,121.12789,0.88176,3.56e-4,1176.802136,4.11,4.33,4.051926586
852,priest,Religion and belief,Person/Thing,Noun,0.578435,34.678509,0.900891,17.551452,129.57713,0.77741,2.76e-4,317.116583,7.1,4.77,5.078567189
854,kettle,Food and drink,Person/Thing,Noun,0.458163,5.597906,0.874529,5.657558,99.00611,0.52632,3.7e-5,113.616138,8.06,4.75,4.868354971
858,storm,The physical world,Person/Thing,Noun,0.866162,31.762961,0.38933,58.760466,100.43324,0.66834,2.28e-4,1091.070899,4.94,4.7,5.535003243
859,stove,The house,Person/Thing,Noun,0.325619,10.756344,0.953935,9.520903,183.33933,1.67407,9.7e-5,179.768615,4.32,4.96,4.742293076
860,cause,Cognition,Person/Thing,Noun,0.534845,159.126321,0.790245,288.622262,144.64215,1.09583,1.14e-4,4629.190151,5.84,2.43,3.623467379
861,judge,Law,Person/Thing,Noun,0.511487,55.849477,0.613822,100.446972,111.64658,0.94384,3.64e-4,1469.593592,8.85,3.75,4.791744662
862,sugar,Food and drink,Person/Thing,Noun,1,76.36451,1.04097,96.033787,282.36541,2.83959,4.8e-4,1678.730347,3.95,4.87,6.017283032
873,tax,Possession,Person/Thing,Noun,0.534691,36.301631,0.589073,66.487156,110.20384,1.25504,2.28e-4,1620.884011,8.94,3.89,3.370045772
878,hell,Religion and belief,Person/Thing,Noun,0.580389,53.523319,0.785278,190.707445,105.38974,0.49901,2.53e-4,3858.498962,5.11,2.41,3.335652292
879,cough,The body,Action/Process,Verb,1,16.194251,0.755144,25.610939,114.49431,1.03873,1.28e-4,291.901513,4.32,4.36,6.342003705
