concepticon_id,concepticon_gloss,semantic_field,ontological_category,semantic_category,lex_ids
875,shoemaker,Clothing and grooming,Person/Thing,Noun,0.607343
2130,headgear,Clothing and grooming,Person/Thing,Noun,0.970489
772,belt,Clothing and grooming,Person/Thing,Noun,0.96446
867,glove,Clothing and grooming,Person/Thing,Noun,0.618163
1151,veil,Clothing and grooming,Person/Thing,Noun,0.498245
1851,pocket,Clothing and grooming,Person/Thing,Noun,0.793345
757,button,Clothing and grooming,Person/Thing,Noun,0.821905
64,pin,Clothing and grooming,Person/Thing,Noun,0.704241
917,ornament,Clothing and grooming,Person/Thing,Noun,0.681298
1029,jewel,Clothing and grooming,Person/Thing,Noun,0.50332
1374,ring,Clothing and grooming,Person/Thing,Noun,0.877118
1754,bracelet,Clothing and grooming,Person/Thing,Noun,0.803963
1961,necklace,Clothing and grooming,Person/Thing,Noun,0.931937
1860,bead,Clothing and grooming,Person/Thing,Noun,0.793851
770,earring,Clothing and grooming,Person/Thing,Noun,0.882559
3457,headband or headdress,Clothing and grooming,Person/Thing,Noun,0.759762
332,rag,Clothing and grooming,Person/Thing,Noun,0.811886
1021,towel,Clothing and grooming,Person/Thing,Noun,0.743119
1475,comb,Clothing and grooming,Person/Thing,Noun,0.974892
1821,brush,Clothing and grooming,Person/Thing,Noun,0.581868
1043,braid,Clothing and grooming,Person/Thing,Noun,0.860473
151,razor,Clothing and grooming,Person/Thing,Noun,0.793569
1926,ointment,Clothing and grooming,Person/Thing,Noun,0.743477
788,soap,Clothing and grooming,Person/Thing,Noun,0.894943
1171,mirror,Clothing and grooming,Person/Thing,Noun,0.939118
363,dwell,The house,Action/Process,Verb,0.969579
1252,house,The house,Person/Thing,Noun,1
1678,hut,The house,Person/Thing,Noun,0.899347
403,garden-house,The house,Person/Thing,Noun,0.508615
1316,tent,The house,Person/Thing,Noun,0.674887
736,yard,The house,Person/Thing,Noun,0.845026
334,cookhouse,The house,Person/Thing,Noun,0.67085
1450,room,The house,Person/Thing,Noun,0.833837
1567,door,The house,Person/Thing,Noun,0.981971
80,doorpost,The house,Person/Thing,Noun,0.650569
1596,lock,The house,Person/Thing,Noun,0.723243
1012,latch,The house,Person/Thing,Noun,0.675595
1472,key,The house,Person/Thing,Noun,0.829148
1375,window,The house,Person/Thing,Noun,0.862116
1632,floor,The house,Person/Thing,Noun,0.928071
933,wall,The house,Person/Thing,Noun,0.919659
185,fireplace,The house,Person/Thing,Noun,0.748127
859,stove,The house,Person/Thing,Noun,0.706858
1305,chimney,The house,Person/Thing,Noun,0.607811
1464,ladder,The house,Person/Thing,Noun,0.903027
1663,bed,The house,Person/Thing,Noun,0.981971
1044,pillow,The house,Person/Thing,Noun,0.856539
806,blanket,The house,Person/Thing,Noun,0.933131
1476,chair,The house,Person/Thing,Noun,0.952121
1775,table,The house,Person/Thing,Noun,0.929017
2131,torch or lamp,Basic actions and technology,Person/Thing,Noun,0.929616
1273,candle,The house,Person/Thing,Noun,0.869262
745,shelf,The house,Person/Thing,Noun,0.682637
205,trough,The house,Person/Thing,Noun,0.792589
769,roof,The house,Person/Thing,Noun,0.962664
279,thatch,The house,Person/Thing,Noun,0.781669
280,ridgepole,The house,Person/Thing,Noun,0.759209
829,rafter,The house,Person/Thing,Noun,0.749701
1132,beam,The house,Person/Thing,Noun,0.772768
281,post,The house,Person/Thing,Noun,0.936827
1227,board,The house,Person/Thing,Noun,0.882109
876,arch,The house,Person/Thing,Noun,0.429676
877,mason,The house,Person/Thing,Noun,0.580035
1006,brick,The house,Person/Thing,Noun,0.704005
1731,mortar binder,The house,Person/Thing,Noun,0.482774
901,adobe,The house,Person/Thing,Noun,0.559429
