concepticon_id	name	description	final_synset	synonym	wordnet_id	count	definition	same_synset	taxonomic_depth
174	proud	Feeling greatly pleased, or satisfied by something or someone that is highly honorable or creditable to oneself.	a01889256	proud	a01889256	1146.0	feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride	same	0.0
175	blow (of wind)	(Of the wind or a current of air) To move.	v02769241	blow	v02769241	608.0	be blowing or storming	same	0.0
178	ripe	(Of fruits, seeds, etc.) Having reached the stage of development suitable for harvesting and eating.	a01493173	mature	a01491775	168.0	characteristic of maturity	different	0.0
178	ripe	(Of fruits, seeds, etc.) Having reached the stage of development suitable for harvesting and eating.	a01493173	ripe	a01493173	239.0	fully developed or matured and ready to be eaten or used	same	0.0
180	call by name	To give a name or designation of a common noun that, e.g., reflects a quality.	v01028748	call	v01028748	8502.0	assign a specified (usually proper) proper name to	same	2.0
180	call by name	To give a name or designation of a common noun that, e.g., reflects a quality.	v01028748	name	n06333653	10095.0	a language unit by which a person or thing is known	different	2.0
183	bake	To cook (something) in an oven, but not in fat.	v01663749	bake	v01663749	455.0	prepare with dry heat in an oven	same	2.0
184	mast	Post of wood or steel, long, round and straight, standing on a ship, intended to carry the sails, flags, floodlights, or communications equipment.	n03726760	mast	n03726760	105.0	a vertical spar for supporting sails	same	10.0
185	fireplace	An open recess in a wall at the base of a chimney where a fire may be built, or a hearth.	n03346455	fireplace	n03346455	456.0	an open recess in a wall at the base of a chimney where a fire can be built	same	9.0
185	fireplace	An open recess in a wall at the base of a chimney where a fire may be built, or a hearth.	n03346455	hearth	n03346455	77.0	an open recess in a wall at the base of a chimney where a fire can be built	same	9.0
190	mow	To cut all the grass, crop or any thin plants of a surface area of the ground.	v01319562	mow	v01319562	131.0	cut with a blade or mower	same	3.0
191	nut	A hard-shelled seed.	n13136556	nut	n13136556	290.0	usually large hard-shelled seed	same	10.0
192	corner	The area around the point where two converging walls meet.	n03109881	corner	n08544419	1287.0	a place off to the side of an area	different	7.0
192	corner	The area around the point where two converging walls meet.	n03109881	nook	n08643648	74.0	a sheltered and secluded place	different	7.0
193	shallow	Having little depth.	a00691696	shallow	a00691696	387.0	lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center	same	0.0
194	family	A group comprising parents, offsprings and others closely related or associated with them.	n07970406	family	n08078020	6059.0	a social unit living together	different	5.0
195	mat	A flat object laid on the floor to protect a person from the hard floor.	n03727837	mat	n03727837	147.0	a thick flat pad used as a floor covering	same	7.0
199	famine	A severe shortage of food, as through crop failure or over population. It may be due to poor harvests following drought, floods, earthquake, war, social conflict, etc.	n07315790	famine	n07315790	110.0	a severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death	same	8.0
203	marry	To enter marriage; to take a husband or a wife.	v02488834	conjoin	v01291069	29.0	make contact or come together	different	2.0
203	marry	To enter marriage; to take a husband or a wife.	v02488834	espouse	v02346895	38.0	choose and follow; as of theories, ideas, policies, strategies or plans	different	2.0
203	marry	To enter marriage; to take a husband or a wife.	v02488834	marry	v02488834	3264.0	take in marriage	same	2.0
203	marry	To enter marriage; to take a husband or a wife.	v02488834	wed	v02488834	32.0	take in marriage	same	2.0
204	again	Once more.	r00040365	again	r00040365	16348.0	anew	same	0.0
205	trough	A long, narrow container, open on top, for feeding or watering animals.	n03717131	manger	n03717131	13.0	a container (usually in a barn or stable) from which cattle or horses feed	same	7.0
205	trough	A long, narrow container, open on top, for feeding or watering animals.	n03717131	trough	n04488427	45.0	a long narrow shallow receptacle	different	7.0
206	firefly	A nocturnal, bioluminescent beetle of the family Lampyridae.	n2168245	firefly	n02168245	56.0	nocturnal beetle common in warm regions having luminescent abdominal organs	different	11.0
208	nasal mucus (snot)	Mucus from the nose.	n05416048	snot	n05416048	33.0	nasal mucus	same	8.0
