concepticon_id,glottocode,lex,concepticon_gloss,semantic_field,language,area,family
618,hupd1244,1,precipice,The physical world,Hup,South America,Naduhup
618,wich1264,1,precipice,The physical world,Güisnay,South America,Mataguayan
618,mapu1245,1,precipice,The physical world,Mapudungun,South America,Araucanian
618,kett1243,1,precipice,The physical world,Ket,Eurasia,Yeniseian
618,chew1245,1,precipice,The physical world,Chewong,Eurasia,Austroasiatic
618,guri1247,1,precipice,The physical world,Gurindji,Australia,Pama-Nyungan
652,swah1253,1,plain,The physical world,Swahili,Africa,Atlantic-Congo
652,iraq1241,1,plain,The physical world,Iraqw,Africa,Afro-Asiatic
652,gaww1239,1,plain,The physical world,Ale-Gawwada,Africa,Afro-Asiatic
652,haus1257,1,plain,The physical world,Hausa,Africa,Afro-Asiatic
652,cent2050,1,plain,The physical world,Central Kanuri,Africa,Saharan
652,tari1263,1,plain,The physical world,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,Africa,Afro-Asiatic
652,sese1246,1,plain,The physical world,Seselwa Creole French,Africa,Indo-European
652,roma1327,1,plain,The physical world,Romanian,Eurasia,Indo-European
652,west2376,1,plain,The physical world,West Slovakian Romani,Eurasia,Indo-European
652,lowe1385,1,plain,The physical world,Lower Sorbian,Eurasia,Indo-European
652,oldh1241,1,plain,The physical world,Old High German (ca. 750-1050),Eurasia,Indo-European
652,dutc1256,1,plain,The physical world,Dutch,Eurasia,Indo-European
652,stan1293,1,plain,The physical world,English,Eurasia,Indo-European
652,kild1236,1,plain,The physical world,Kildin Saami,Eurasia,Uralic
652,bezh1248,1,plain,The physical world,Bezhta,Eurasia,Nakh-Daghestanian
652,arch1244,1,plain,The physical world,Archi,Eurasia,Nakh-Daghestanian
652,mana1288,1,plain,The physical world,Manange,Eurasia,Sino-Tibetan
652,yaku1245,1,plain,The physical world,Sakha,Eurasia,Turkic
652,oroq1238,1,plain,The physical world,Oroqen,Eurasia,Tungusic
652,nucl1643,1,plain,The physical world,Japanese,Eurasia,Japonic
652,mand1415,1,plain,The physical world,Mandarin Chinese,Eurasia,Sino-Tibetan
652,thai1261,1,plain,The physical world,Thai,Eurasia,Tai-Kadai
652,viet1252,1,plain,The physical world,Vietnamese,Eurasia,Austroasiatic
652,hmon1333,1,plain,The physical world,Hmong Daw,Eurasia,Hmong-Mien
652,indo1316,1,plain,The physical world,Standard Indonesian,Papunesia,Austronesian
652,plat1254,1,plain,The physical world,Plateau Malagasy,Africa,Austronesian
652,taki1248,1,plain,The physical world,Takia,Papunesia,Austronesian
652,hawa1245,1,plain,The physical world,Hawaiian,Papunesia,Austronesian
652,yaqu1251,1,plain,The physical world,Yaqui,North America,Uto-Aztecan
652,tzot1259,1,plain,The physical world,Tzotzil,North America,Mayan
652,kekc1242,1,plain,The physical world,Q'eqchi',North America,Mayan
652,mezq1235,1,plain,The physical world,Mezquital Otomi,North America,Otomanguean
652,sara1340,0,plain,The physical world,Saramaccan,South America,Indo-European
652,imba1240,1,plain,The physical world,Imbabura Highland Quichua,South America,Quechuan
652,gali1262,0,plain,The physical world,Galibi Carib,South America,Cariban
652,hupd1244,1,plain,The physical world,Hup,South America,Naduhup
652,wich1264,1,plain,The physical world,Güisnay,South America,Mataguayan
652,mapu1245,1,plain,The physical world,Mapudungun,South America,Araucanian
652,kett1243,1,plain,The physical world,Ket,Eurasia,Yeniseian
652,chew1245,0,plain,The physical world,Chewong,Eurasia,Austroasiatic
652,guri1247,1,plain,The physical world,Gurindji,Australia,Pama-Nyungan
921,swah1253,1,valley,The physical world,Swahili,Africa,Atlantic-Congo
